InventoryId,AutoInventoryId,StateInventoryNum,State_ID,State_Name,Region_ID,RegionName,InventoryName,ManufacturerName,Model,SerialNumber,RetailCost,CostPaid,PurchaseDate,Status,Active,DueDate,Location,Description,DeviceCategory,SubCategory,CurrentDevLoan_ID,LendingFee,DoNotCheckout
9a0a0d38-59bf-4beb-8ce9-71a4bf3cdb07,15-IN-10018,,15,Hawaii,,,Blue 2 Switch,Ablenet,Blue 2 Switch,,0.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,Speech Communication,,,,False
130c2a40-92fa-47ad-8285-c1bf225dce3d,15-IN-10210,,15,Hawaii,,,Braille Alphanumeric Stickers,Maxiaids,Braille Feel n Peel Alphabet Stickers,,12.9500,0.0000,1/17/2017 12:00:00 AM,In,True,,,,Vision,,,,False
ed89a736-aaa7-4ca9-9fb9-10f5707d3d04,15-IN-10223,,15,Hawaii,,,Braille Pin (hook),,,,0.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,Vision,,,,False
8df10f3d-dfe0-4bec-bd10-c20e5f0cd7be,15-IN-10222,,15,Hawaii,,,Braille Pin (pinhead),,,,0.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,Vision,,,,False
28b146ac-b91e-460f-96a5-5dddc634abaa,15-IN-10050,,15,Hawaii,,,Braille Playing Card,,,,0.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,Daily Living,,,,False
344527ec-aad6-4abf-b50b-5fd414dba2d7,15-IN-10220,,15,Hawaii,,,Braille Stencils (long),Maxiaids,,,29.9500,0.0000,1/17/2017 12:00:00 AM,In,True,,,,Vision,,,,False
b1602228-6b11-4abb-8df9-475703704984,15-IN-10218,,15,Hawaii,,,Braille Stencils (ruler),,,,0.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,Vision,,,,False
644d7a59-5ae9-4c8c-b6af-c3f4031e4d29,15-IN-10221,,15,Hawaii,,,Braille Stencils (short),Maxiaids,,,19.9500,0.0000,1/17/2017 12:00:00 AM,In,True,,,,Vision,,,,False
09f2d1a2-25a8-4b65-898a-47f9034d7b5e,15-IN-10219,,15,Hawaii,,,Braille Stencils (wide),Maxiaids,,,29.9500,0.0000,1/17/2017 12:00:00 AM,In,True,,,,Vision,,,,False
9011ec2e-026f-4f4f-8846-67e565e56c3b,15-IN-10114,,15,Hawaii,,,BROTHER P-Touch Label Maker,Brother,,,0.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,"Mobility, Seating and Positioning",,,,False
626df1d6-9a76-42a5-9cb6-5fdc3c174907,15-IN-10146,,15,Hawaii,,,BUDDY Mini Desktop Microphone,Buddy,,,0.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,Computers and Related,,,,False
54ab40d7-df89-41e7-ad6a-55a0a2c3443a,15-IN-10032,,15,Hawaii,,,Button Fastener,,,,0.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,Daily Living,,,,False
8b5e8114-4ddb-4efc-a40f-bca7396e7e73,15-IN-10089,,15,Hawaii,,,Califone,,,,0.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,Hearing,,,,False
59674b85-e1f4-4a4e-b7e9-094dd1f8ad67,15-IN-10084,,15,Hawaii,,,CAPTEL Phone with Captions,Captel,,,0.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,Hearing,,,,False
16253c4d-088a-44ad-ba7b-096a7b06a691,15-IN-10083,,15,Hawaii,,,CAPTIONCALL Phone with Captions,CaptionCall,,,0.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,Hearing,,,,False
03145292-dbb3-4b11-a105-eb65e6b2c822,15-IN-10020,,15,Hawaii,,,Chatter Vox,,,,0.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,Speech Communication,,,,False
002aac86-8460-413b-b265-4c5aab7db7c2,15-IN-10193,,15,Hawaii,,,Circular Pocket Magnifier,,,,0.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,Vision,,,,False
60c74ca3-12fe-450f-aca5-452b88af92ab,15-IN-10185,,15,Hawaii,,,CLASSMATE Reader,Humanware,100CMR (discontinued),,50.0000,0.0000,1/17/2017 12:00:00 AM,In,True,,,,Vision,,,,False
